1,92
2,29
3,82
4,67
5,20
1,19
2,52
3,70
4,53
5,86
1,73
2,97
3,27
4,75
5,61
1,32
2,74
3,44
4,57
5,75
1,21
2,30
3,50
4,74
5,58
1,34
2,4
3,48
4,96
5,61
1,2
2,97
3,92
4,14
5,24
1,82
2,43
3,80
4,70
5,57
1,99
2,43
3,58
4,89
5,67
1,41
2,97
3,94
4,82
5,61
1,51
2,15
3,21
4,42
5,95
1,92
2,7
3,82
4,23
5,59
1,15
2,16
3,12
4,30
5,19
1,46
2,89
3,1
4,72
5,50
1,30
2,97
3,67
4,20
5,88
1,55
2,28
3,94
4,18
5,47
1,17
2,85
3,57
4,50
5,47
1,17
2,32
3,34
4,41
5,13
1,67
2,86
3,92
4,7
5,56
1,88
2,16
3,54
4,72
5,96
1,39
2,14
3,17
4,48
5,36
1,2
2,69
3,98
4,26
5,19
1,97
2,47
3,76
4,87
5,44
1,20
2,85
3,9
4,48
5,1
1,11
2,77
3,5
4,66
5,26
1,61
2,1
3,86
4,34
5,92
1,2
2,7
3,93
4,48
5,14
1,71
2,49
3,22
4,13
5,4
1,77
2,56
3,40
4,45
5,5
1,76
2,95
3,59
4,14
5,15
1,35
2,98
3,92
4,5
5,46
1,24
2,47
3,15
4,78
5,67
1,64
2,46
3,57
4,68
5,58
1,56
2,44
3,94
4,39
5,0
1,97
2,97
3,55
4,12
5,17
1,39
2,35
3,55
4,20
5,62
1,82
2,41
3,12
4,75
5,14
1,79
2,1
3,38
4,88
5,96
1,60
2,48
3,43
4,4
5,2
1,88
2,12
3,25
4,52
5,24
1,12
2,70
3,13
4,30
5,4
1,37
2,83
3,68
4,57
5,7
1,41
2,82
3,17
4,64
5,44
1,55
2,52
3,75
4,77
5,98
1,76
2,9
3,74
4,40
5,33
1,68
2,9
3,43
4,72
5,33
1,82
2,27
3,84
4,55
5,46
1,66
2,47
3,23
4,76
5,77
1,90
2,13
3,52
4,80
5,97
1,30
2,54
3,78
4,85
5,36
1,54
2,9
3,42
4,96
5,36
1,25
2,88
3,84
4,5
5,42
1,13
2,14
3,12
4,67
5,31
1,71
2,70
3,15
4,29
5,66
1,1
2,88
3,94
4,0
5,78
1,29
2,62
3,15
4,24
5,55
1,38
2,12
3,5
4,23
5,23
1,56
2,90
3,57
4,24
5,3
1,6
2,97
3,70
4,98
5,57
1,86
2,42
3,79
4,1
5,5
1,61
2,94
3,69
4,69
5,61
1,84
2,54
3,34
4,95
5,19
1,45
2,55
3,89
4,27
5,84
1,1
2,38
3,91
4,82
5,78
1,94
2,29
3,37
4,16
5,26
1,92
2,50
3,18
4,9
5,84
1,94
2,24
3,5
4,81
5,10
1,11
2,32
3,24
4,85
5,4
1,50
2,10
3,38
4,85
5,15
1,6
2,29
3,4
4,56
5,26
1,14
2,12
3,18
4,57
5,15
1,0
2,0
3,87
4,13
5,43
1,29
2,30
3,7
4,29
5,64
1,87
2,71
3,26
4,98
5,88
1,23
2,96
3,3
4,19
5,28
1,57
2,79
3,56
4,12
5,24
1,73
2,60
3,15
4,58
5,73
1,67
2,48
3,9
4,77
5,63
1,34
2,66
3,57
4,26
5,32
1,5
2,87
3,91
4,30
5,94
1,90
2,88
3,84
4,93
5,11
1,81
2,76
3,85
4,58
5,23
1,67
2,17
3,39
4,6
5,91
1,34
2,28
3,79
4,66
5,57
1,30
2,3
3,70
4,9
5,76
1,45
2,62
3,17
4,87
5,37
1,78
2,66
3,37
4,39
5,10
1,59
2,99
3,29
4,35
5,94
1,94
2,68
3,24
4,43
5,17
1,72
2,10
3,74
4,79
5,79
1,44
2,47
3,95
4,54
5,91
1,11
2,99
3,34
4,88
5,82
1,31
2,1
3,51
4,81
5,27
1,11
2,21
3,50
4,27
5,35
1,87
2,71
3,25
4,45
5,77
1,62
2,62
3,83
4,59
5,45
1,22
2,94
3,92
4,16
5,68
1,5
2,82
3,33
4,68
5,39
1,82
2,77
3,55
4,0
5,66
1,37
2,62
3,9
4,40
5,3
1,90
2,91
3,76
4,13
5,50
1,19
2,6
3,20
4,84
5,83
1,77
2,26
3,80
4,53
5,93
1,11
2,68
3,51
4,76
5,2
1,50
2,11
3,71
4,71
5,98
1,3
2,15
3,32
4,89
5,40
1,0
2,7
3,76
4,99
5,49
1,40
2,41
3,43
4,87
5,86
1,28
2,51
3,96
4,4
5,95
1,20
2,92
3,86
4,63
5,82
1,65
2,13
3,34
4,89
5,1
1,0
2,89
3,54
4,21
5,68
1,38
2,36
3,62
4,16
5,61
1,69
2,33
3,85
4,63
5,80
1,46
2,22
3,98
4,30
5,32
1,24
2,79
3,47
4,35
5,93
1,44
2,70
3,3
4,21
5,84
1,56
2,50
3,75
4,85
5,54
1,55
2,92
3,74
4,12
5,56
1,27
2,18
3,30
4,24
5,70
1,13
2,86
3,96
4,60
5,57
1,30
2,32
3,89
4,63
5,17
1,54
2,67
3,38
4,29
5,70
1,87
2,48
3,26
4,54
5,66
1,86
2,23
3,39
4,59
5,56
1,52
2,53
3,23
4,10
5,64
1,87
2,60
3,87
4,90
5,71
1,2
2,27
3,7
4,49
5,48
1,92
2,39
3,20
4,60
5,42
1,27
2,72
3,57
4,85
5,31
1,92
2,2
3,84
4,67
5,60
1,43
2,75
3,51
4,59
5,3
1,60
2,67
3,56
4,76
5,54
1,40
2,27
3,71
4,11
5,20
1,16
2,72
3,25
4,31
5,7
1,54
2,24
3,47
4,47
5,92
1,37
2,36
3,68
4,9
5,24
1,64
2,18
3,43
4,77
5,27
1,22
2,46
3,57
4,55
5,66
1,99
2,77
3,32
4,23
5,57
1,12
2,54
3,36
4,78
5,27
1,81
2,24
3,72
4,81
5,64
1,43
2,92
3,86
4,12
5,60
1,26
2,61
3,26
4,44
5,31
1,45
2,56
3,43
4,74
5,0
1,75
2,69
3,38
4,22
5,38
1,95
2,55
3,8
4,14
5,79
1,2
2,9
3,17
4,7
5,61
1,31
2,29
3,74
4,22
5,31
1,2
2,1
3,74
4,49
5,60
1,7
2,68
3,38
4,77
5,5
1,5
2,89
3,65
4,99
5,88
1,0
2,22
3,59
4,95
5,71
1,5
2,59
3,47
4,50
5,23
1,34
2,8
3,89
4,36
5,46
1,13
2,42
3,35
4,60
5,60
1,0
2,60
3,83
4,34
5,41
1,84
2,40
3,60
4,9
5,66
1,80
2,13
3,2
4,16
5,2
1,22
2,27
3,99
4,61
5,28
1,29
2,92
3,91
4,79
5,99
1,65
2,79
3,66
4,89
5,46
1,84
2,22
3,30
4,76
5,17
1,3
2,98
3,10
4,32
5,7
1,57
2,44
3,49
4,58
5,81
1,71
2,77
3,76
4,75
5,6
1,21
2,7
3,9
4,9
5,23
1,0
2,88
3,43
4,11
5,2
1,4
2,75
3,47
4,88
5,81
1,12
2,35
3,0
4,79
5,60
1,11
2,96
3,84
4,64
5,90
1,87
2,60
3,25
4,57
5,32
1,41
2,27
3,62
4,42
5,70
1,26
2,40
3,91
4,35
5,29
1,22
2,37
3,11
4,78
5,39
1,71
2,34
3,36
4,88
5,21
1,90
2,22
3,24
4,27
5,85
1,1
2,8
3,72
4,46
5,72
1,29
2,5
3,28
4,60
5,73
1,86
2,18
3,92
4,66
5,53
1,50
2,28
3,79
4,48
5,9
1,38
2,23
3,44
4,9
5,72
1,46
2,2
3,50
